content-id,The unique id of the content,String,state curie! attribute,id:aa61e603-9947-4fd8-86bb-d63a682259d0 
content-language,Language of the content,String,small! user attribute,en-GB;ja;ar;zh-CN-SC;ru-RUS;es;it;fr
content-right-to-left,Whether the content requires right to left,Bool,user attribute,
selected,The selected tags for the field,List String,state compactUris,id:02 
selectable,The selectable tags for the field,List String,state compactUris,id:02 
suggesting,Suggesting is currently happening,Bool,state, 
suggestion,The list of suggested tags for the field,List String,compactUris,id:01;id:02;id:03;id:04s 
danger-help,Help message to highlight an issue with the content,String,medium! state,do not do this
help,Some help tip related to the field,String,medium!,Lorem ipsum dolor sit amet consectetur adipiscing elit.;助けて
label,Label related to the field,String,medium!,Some label;ラベル;ضع الكلمة المناسبة
user-language,Language used by the user,String,small! attribute,en-GB;ja;ar;zh-CN-SC;ru-RUS;es;it;fr
user-right-to-left,Whether the user is using right to left,Bool,attribute,
success-minimum-tags,The minimum number of tags needed for successful content,Int,,
success-maximum-tags,The maximum number of tags needed for successful content,Int,,
danger-minimum-tags,Warning when under the minimum number of tags,Int,,
danger-maximum-tags,Warning when over the maximum number of tags,Int,,

